,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
3,AAPL,1,130.535,131.39,130.05,131.2,32112797,120.2910572,121.0789597,119.8441183,120.9038703,32112797,0,1
4,AAPL,2,129.96,130.655,129.32,129.86,33667627,119.7611812,120.40164,119.1714063,119.6690289,33667627,0,1
5,AAPL,3,130.12,130.94,129.9,130.66,30983542,119.908625,120.6642742,119.7058898,120.4062476,30983542,0,1
6,AAPL,4,129.36,130.58,128.91,129.58,38450118,119.2082672,120.3325257,118.7935817,119.4110023,38450118,0,1
7,AAPL,5,128.65,129.69,128.36,129.5,35626800,118.5539856,119.5123699,118.2867438,119.3372805,35626800,0,1
8,AAPL,8,127.8,129.21,126.83,128.9,52674786,117.7706907,119.0700387,116.876813,118.7843664,52674786,0,1
9,AAPL,9,127.42,128.08,125.62,126.7,56075420,117.4205118,118.0287172,115.7617697,116.757015,56075420,0,1
10,AAPL,10,128.88,129.34,127.85,127.92,39087250,118.765936,119.1898367,117.8167669,117.8812735,39087250,0,1
11,AAPL,11,128.59,130.18,128.475,129.18,35390887,118.4986942,119.9639164,118.392719,119.042393,35390887,0,1
12,AAPL,12,127.17,128.33,127.11,128.185,36886246,117.1901309,118.2590981,117.1348395,118.1254772,36886246,0,1
13,AAPL,15,126.92,127.24,125.71,126.1,43988946,116.9597501,117.2546376,115.8447068,116.2041009,43988946,0,1
14,AAPL,16,127.6,127.85,126.37,127.03,31494131,117.586386,117.8167669,116.4529122,117.0611177,31494131,0,1
15,AAPL,17,127.3,127.88,126.74,127.72,32918071,117.309929,117.8444126,116.7938759,117.6969688,32918071,0,1
16,AAPL,18,127.88,128.31,127.22,127.23,35407220,117.8444126,118.2406676,117.2362071,117.2454224,35407220,0,1
17,AAPL,19,126.6,127.82,126.4,127.71,54716887,116.6648626,117.7891212,116.4805579,117.6877536,54716887,0,1
18,AAPL,22,127.61,128.06,127.08,127.49,34039345,117.5956012,118.0102868,117.1071938,117.4850184,34039345,0,1
19,AAPL,23,127.03,127.61,126.8792,127.48,30268863,117.0611177,117.5956012,116.9221519,117.4758032,30268863,0,1
20,AAPL,24,128.11,129.8,127.12,127.21,55280855,118.0563629,119.6137375,117.1440548,117.2269919,55280855,0,1
21,AAPL,25,127.5,129.2,127.5,128.86,31938100,117.4942337,119.0608235,117.4942337,118.7475055,31938100,0,1
22,AAPL,26,126.75,127.99,126.51,127.67,44066841,116.8030911,117.9457801,116.5819255,117.6508927,44066841,0,1
23,AAPL,29,124.53,126.47,124.48,125.46,49161427,114.7573092,116.5450646,114.711233,115.6143259,49161427,0,1
24,AAPL,30,125.425,126.12,124.86,125.57,44370682,115.5820726,116.2225314,115.0614119,115.7156935,44370682,0,1
